-67.573	12.650
-67.431	12.639
-67.302	12.608
-67.157	12.573
-67.022	12.524
-66.871	12.466
-66.746	12.408
-66.612	12.340
-66.497	12.274
-66.359	12.204
-66.257	12.124
-66.142	12.030
-66.025	11.949
-65.938	11.848
-65.839	11.748
-65.770	11.636
-65.715	11.507
-65.668	11.383
-65.642	11.232
-65.636	11.099
-65.644	10.970
-65.711	10.840
-65.788	10.702
-65.868	10.592
-65.954	10.469
-66.048	10.377
-66.145	10.284
-66.277	10.188
-66.403	10.109
-66.544	10.049
-66.685	9.991
-66.815	9.944
-66.954	9.905
-67.087	9.872
-67.229	9.861
-67.388	9.848
-67.527	9.843
-67.656	9.850
-67.795	9.848
-67.939	9.850
-68.072	9.811
-68.202	9.800
-68.337	9.761
-68.479	9.737
-68.609	9.715
-68.755	9.695
-68.886	9.655
-69.017	9.635
-69.145	9.614
-69.274	9.601
-69.404	9.574
-69.533	9.562
-69.700	9.533
-69.848	9.518
-70.004	9.478
-70.144	9.447
-70.275	9.406
-70.402	9.383
-70.532	9.354
-70.661	9.329
-70.791	9.292
-70.920	9.258
-71.068	9.217
-71.198	9.183
-71.327	9.144
-71.456	9.098
-71.597	9.024
-71.730	8.990
-71.882	8.924
-72.011	8.854
-72.121	8.779
-72.247	8.681
-72.356	8.608
-72.455	8.525
-72.566	8.441
-72.678	8.339
-72.779	8.245
-72.870	8.144
-72.961	8.052
-73.058	7.955
-73.160	7.850
-73.258	7.754
-73.355	7.664
-73.444	7.565
-73.552	7.464
-73.649	7.366
-73.743	7.271
-73.851	7.178
-73.953	7.079
-74.052	6.993
-74.180	6.918
-74.291	6.833
-74.407	6.758
-74.517	6.679
-74.645	6.606
-74.763	6.532
-74.921	6.453
-75.055	6.384
-75.173	6.315
-75.303	6.271
-75.447	6.197
-75.580	6.146
-75.710	6.099
-75.845	6.054
-76.005	6.020
-76.153	5.986
-76.283	5.960
-76.412	5.931
-76.542	5.904
-76.690	5.877
-76.819	5.853
-76.949	5.833
-77.092	5.816
-77.231	5.796
-77.362	5.789
-77.518	5.753
-77.646	5.734
-77.781	5.707
-77.910	5.687
-78.058	5.653
-78.188	5.608
-78.317	5.573
-78.465	5.542
-78.608	5.499
-78.724	5.438
-78.853	5.402
-78.983	5.347
-79.129	5.288
-79.254	5.233
-79.408	5.180
-79.550	5.125
-79.685	5.083
-79.815	5.017
-79.962	4.969
-80.109	4.901
-80.238	4.846
-80.360	4.790
-80.488	4.736
-80.627	4.660
-80.739	4.593
-80.878	4.528
-81.017	4.463
-81.134	4.400
-81.276	4.336
-81.405	4.250
-81.528	4.176
-81.661	4.104
-81.770	4.033
-81.893	3.952
-82.006	3.883
-82.126	3.820
-82.233	3.715
-82.345	3.646
-82.472	3.567
-82.582	3.493
-82.700	3.435
-82.829	3.364
-82.959	3.314
-83.080	3.268
-83.217	3.227
-83.342	3.178
-83.494	3.133
-83.619	3.095
-83.751	3.051
-83.902	3.013
-84.050	2.974
-84.179	2.952
-84.308	2.935
-84.438	2.915
-84.576	2.899
-84.715	2.886
-84.845	2.882
